;Message;URL;cat1;category
1071;"Justice Samuel Alito’s use of election subversion symbols calls into question his ability to remain impartial on any cases before the Supreme Court relating to the insurrection of January 6th, 2021, results of the 2020 election, or Donald Trump himself. I joined my colleagues in a letter to Justice Alito calling for his recusal. He refused to recuse; blaming his wife for flags and implying our call for his recusal was “motivated by political or ideological considerations or a desire to affect the outcome of Supreme Court cases.” According to SCOTUS’s own “Code of Ethics”, Mr. Alito must uphold the integrity of the Supreme Court by avoiding even the appearance of impartiality or association with political activity. His response to our letter is simply unacceptable. For the sake of our Supreme Court’s integrity, we must pass the Supreme Court Ethics, Recusal, and Transparency Act (H.R. 926)--establishing an enforceable ethics code to hold our highest court in the nation to higher standards.";https://www.facebook.com/100045099313469/posts/986526262860675;1;0
30700;Governor of Georgia, which is a crucial swing state. In an OpEd in the Atlanta Journal-Constitution on Monday, Duncan warned that the Republican Party “will never rebuild until we move on from the Trump era.” For Duncan, Trump has “disqualified himself through his conduct and his character,” leaving Duncan “no choice but to pull the lever for Biden.” It is good to hear that not all Republicans are Trump’s sheep.;https://www.facebook.com/100081543381170/posts/459254010136041;2;2
60137;Great catching up with Clay Leland, who got his start in politics on a certain guy’s first state Senate campaign and later worked as an attorney in the Trump White House. <U+0001F1FA><U+0001F1F8>;https://www.facebook.com/100050202621692/posts/977325703950841;1;1
33061;Google Reverses Decision To Ban Trump Ad Targeting Biden On Inflation, Illegal Immigration.;https://www.facebook.com/100058177327125/posts/846688783947025;1;0
2688;We can't count on Tom Kean - he lacks the courage this moment requires. The stakes are too high. If Trump wins and we don't flip the House, there will be NO checks against his attacks on our constitution and democracy.;https://www.facebook.com/100093060976536/posts/339668089145221;1;2
92467;Really enjoyed collecting signatures to get on the ballot in Armonk today! I had so many great conversations with folks who are ready to defeat MAGA extremism, flip this seat, and restore serious leadership in the House on behalf of the Lower Hudson Valley.;https://www.facebook.com/100058023160853/posts/794432099167555;1;2
45876;Had a great time catching up with Terry Mears and Scotty Prescott in Holmes County yesterday. Terry's doing a great job as Chairman of the Holmes County GOP. We're ready to #KeepFloridaRed and get President Trump back in the White House!;https://www.facebook.com/NealDunnForCongress/posts/943103217272430;1;1
82008;What about Trump? ;https://www.facebook.com/100078207759534/posts/421682120448710;1;0
27084;Should Nathan Wade appear before the House Judiciary Committee, the first thing I want to know is… was it worth it? Was it worth it to serve as a political pawn in the Biden scheme to sideline Trump from the campaign trail? And by the way, it hasn’t worked. No one is fighting harder for America than our 45th and future 47th President.;https://www.facebook.com/100057241496670/posts/959154022669305;1;1
14674;"My message of working with those of different perspectives is catching on! Bill Maher was on Gutfeld tonight; who would have thought that a couple years ago?! It reminds me of Jose and I working the campaign, and us showing everyone how a Republican and a Democrat really can work together when it's for the common good. As a side note, even Trump borrowed one of my phrases this weekend saying ""you have to meet people where they are at."" Washington clearly needs me! <U+0001F1FA><U+0001F1F2>";https://www.facebook.com/61556139693822/posts/122147720168204656;1;0
58627;"Good evening, and welcome to our Weekend Update. Yesterday, Iran launched a heinous attack against Israel. The United States must always stand unequivocally with our great ally. We remain committed to our closest partner in the Middle East, and such a vicious attack cannot stand. My prayers are with the people of Israel in the wake of this ruthless attack. Last night, President Donald J. Trump's campaign held a rally in Schnecksville, Lehigh County. It was a large, enthusiastic crowd of Pennsylvanians fired up to re-elect Trump and our GOP ticket. I was honored to address the crowd before President Trump spoke. Click here or below to hear my remarks. I focused my remarks on the destructive, damaging and deadly policies of the Biden administration to the U.S. and the world. I contrasted that reality with the strong economy and global stability we had under President Trump. In order to truly get America on the right, crucial direction to strengthen our national security and our economy, all American-loving citizens must vote...Vote early, vote by mail, vote on Election Day. This is the most important election of our lifetime. Vote and volunteer to help contact infrequent voters or voters who lost confidence in elections, we all must vote to put America on track to be great again. Pictured below with Shelley and congressional candidate Maria Montero (PA-7). Pictured below with Pennsylvania State Treasurer Stacy Garrity. Stacy got a great shoutout from President Trump. Congressman Lloyd Smucker and House Majority Whip Tom Emmer in Pennsylvania meeting President Trump. President Trump provided our campaign with his full endorsement, and I am proud to have his support. When you peel back the onion on the Biden Administration, all you want to do is cry. Nothing is being done from a tax, regulatory, or fiscal responsibility standpoint that is helping drive or strengthen our economy. This Administration’s policies have been devastating to American small businesses. I joined ""Mornings with Maria"" on Fox Business to discuss. Click here or below to watch. Under Biden’s disastrous border policies, we have drugs poisoning our nation’s youth, human trafficking, rising crime in our cities, and now rampant squatting by illegal immigrants. My recently introduced SHIELD Act will make illegal immigrants think twice before squatting in an American’s home by making trespassing a deportable offense. I joined ""Fox & Friends Weekends"" on Fox News to discuss. Click here or below to watch. The dramatic increase in the number of illegal immigrants squatting in American homes is yet another example of how the disastrous situation at our southern border is impacting communities across the country. That’s why I introduced the SHIELD Act, which would make trespassing a deportable offense for illegal aliens and deem the alien permanently inadmissible for entry into the United States. Click here or below to learn more about my recently introduced legislation. This legislation will serve as a deterrent and make illegals think twice before attempting to trespass on or unlawfully possess an American’s property. Click here or below to watch my remarks on the House floor. The Fourth Amendment protects our citizens against warrantless searches and seizures. And while we must ensure that national security is as strong as it needs to be, we must also safeguard the freedoms of the American people. We need to accomplish both of those goals as the House considers the reauthorization of FISA. I joined the ""American Agenda"" on Newsmax to comment further on the issue. Click here or below to watch. IN NEWS YOU WON’T HEAR IN THE MAINSTREAM MEDIA: Since Biden took office, overall prices have shot up by 19.4% — a MASSIVE hit on hardworking Americans. Nowhere is that price pain felt more than in the daily foods Americans buy. SINCE BIDEN TOOK OFFICE… Eggs are up 49.3%. Gas is up 47.8%. Peanut butter is up 40.1%. Crackers are up 38.2%. Flour is up 33.5%. Butter/margarine is up 32%. Salad dressing is up 30.6%. Baby food is up 30.5%. Sugar is up 29.1%. Frozen vegetables are up 28.2%. Bakery products are up 26.7%. Soups are up 26.4%. Steaks are up 24.8%. Chicken is up 23.9%. Pet food is up 23.7%. Bread is up 23.7%. Cereal is up 22.5%. Coffee is up 19.6%. Milk is up 15%. Overall, grocery prices have surged by 21.1% since Biden took office. That’s a massive drag on Americans already paying more for almost everything during the Biden administration. These unending price hikes (which Biden promised would be “transitory” but was lying) have decimated Americans’ finances. Nearly two-thirds of Americans reported living paycheck-to-paycheck last year — an increase from 2022 — as credit card debt hits record highs and savings accounts dwindle. That is the definition of Bidenomics! By finalizing its deeply flawed Climate Rule, Biden's U.S. Securities and Exchange Commission compels companies into political speech and prioritizes its legal defenses over (truncated)";https://www.facebook.com/100044164222925/posts/971428687672596;6;1
3371;Trump Verdict: The prosecutors in this case, with I believe help from the bench, had to take the law and make origami out of it to try and get the verdict they wanted. This was not about justice. This was about politics. This will be overturned on appeal. ABSOLUTELY NO DOUBT.;https://www.facebook.com/100044573712541/posts/978896970272751;1;1
35634;"""Trump leads Biden by 10-12 point"" This is why the corrupt Democrats are using blue state DAs and the Biden DOJ to go after them, they know Biden CANNOT win a fair fight! #MAGA<U+0001F1FA><U+0001F1F8> ";https://www.facebook.com/100058162265643/posts/831017652180303;1;1
94404;It has been now 105 days since I asked John Lee to endorse Donald J. Trump and he has still refused to do so.;https://www.facebook.com/100089957967352/posts/369799806028615;1;1
90897;Deranged maniac donald trump who tried to violently overthrow the government after he lost vows more violence if he loses again. Pay attention.;https://www.facebook.com/100043923769754/posts/950325373108246;1;2
10235;MAGA extremists in Louisiana are trying to take away women’s reproductive freedom by classifying abortion pills as “controlled dangerous substances.” In doing so, they have made their message clear: it’s about stripping women of all autonomy.;https://www.facebook.com/100058132476505/posts/853588813255527;1;2
2371;If this verdict were to influence the election & keep President Trump from winning the election, but the case is later thrown out on appeal, I think you might see red state prosecutors retaliate against the sitting President with a whole host of litigation wars & prosecutions. The good news is I believe yesterday’s decision will invigorate Trump voters and will likely catapult President Trump back to the White House.;https://www.facebook.com/100044141994240/posts/1020827839398606;3;1
10696;"<U+0001F923><U+0001F923>""I gotta get my teeth like that. I want that to happen to me."" <U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F480> - Donald J. Trump Only in America! New York is showing out! <U+0001F1FA><U+0001F1F8> It's time to retire the past and elect leaders ready to put Americans and #AmericaFirst A vote for Darius is a vote for America and common sense. Dariusmayfieldforamerica.com #BeAmerican #OurTimeToRun #NotBlackNotWhiteAmerican #DariusMayfieldForAmerica";https://www.facebook.com/100064116371519/posts/830304345783437;1;1
54800;#HouseDemocrats are working with President Joe Biden to lower costs for hardworking American taxpayers. MAGA Republicans continue to waste time on political stunts that neglect everyday Americans.;https://www.facebook.com/100047330375921/posts/930805715173766;1;2
95233;President Donald J. Trump is the fighter we need to turn this country around. We don’t want anymore polished politicians.;https://www.facebook.com/100063520661454/posts/909833427810671;1;1
23876;East Tennessee is Trump Country;https://www.facebook.com/100057669506251/posts/899900881942220;1;1
2741;Trump shut your mouth! You talk about saving the Constitution? You’re the one who has disrespected the Constitution and you have supporters who believe we should get rid of the Constitution! Just shut your mouth, you’re convicted on all counts!;https://www.facebook.com/100044288761259/posts/1039630917523191;1;2
57430;Trump And Stormy Daniels Circus Case - Trump Needs A Hung Jury #Trump #Trump2024 #StormyDaniels #trial;https://www.facebook.com/100076264782232/posts/451495310735958;2;0
43676;The American people are seeing the Democrats’ sham persecution of President Trump for what it is: a bogus attempt to use the justice system to go after their political opponents.;https://www.facebook.com/100044576192987/posts/973722057456992;1;1
2399;Yesterday, a long with a lot of you, I watched as the word guilty rang out across a NY City courtroom 34 times. For the first time in American history a former President of the United States is a convicted felon. We have truly crossed the Rubicon. Now, we the people, must make a choice. Do we stand for the rule of law and the democratic principles that have guided us for nearly 250 years? Or do we throw it all away based on the capricious, child-like rantings of an obvious narcissist who declares the system rigged only when he loses? Trump’s reaction is akin to a six-year old on the floor flailing his arms and legs and screaming “this is not fair” at the top of his lungs. The GOPs response as a whole is no better, essentially defaulting to the idea that their “dear leader” can do no wrong. (I would like to reserve thanks to Sen. Hoyer and former Governor Atchison for their comments calling for respecting the legal process, but they are the only two republicans to publically rise to this challenge thus far.) This is a case that was turned down by the Department of Justice. It was deemed non-prosecutable by the previous DA. Mr. Bragg decided otherwise upon his election and brought the case before a grand jury. Those folks determined enough evidence existed to go to trial. A 22 week trial took place and that evidence was heard by 12 people who, in turn, unanimously agreed that crimes were committed and rendered a guilty verdict. In short, a textbook example of how the legal system works. Obviously, it is not over. There will be multiple appeals and, frankly, there are several areas of this case that I think need to be looked at more closely. And I have faith that we will take that look because I believe in the fundamental American ideas that we are all created equal and no man is above the law. In the meantime, we now have a convicted felon vying to occupy the most powerful office in the world and neither conviction nor jail time will prevent him from being on the ballot in November where it is becoming increasingly clear that we are faced with the choice of continuing our grand American experiment or handing the reins to an increasingly unhinged demagogue who demands loyalty to Trump over and above loyalty to God, loyalty to family, and loyalty to Country. In my mind, it is a clear choice.;https://www.facebook.com/100079528751976/posts/441484625179159;1;2
52660;Young Americans, watch out. If Donald Trump gets elected, he’s coming for your health care coverage.;https://www.facebook.com/100044348473492/posts/980372646784342;1;2
54940;Republicans know they are losing on the issue of abortion rights. They know ending Roe v Wade is extremely unpopular. And everyone knows Donald Trump is the one who made that happen.;https://www.facebook.com/100044175622151/posts/979856096830235;1;2
58396;Israel and Iran/ Trump Trial Today;https://www.facebook.com/100076264782232/posts/1394994977810349;1;0
29096;Have you signed up to #StandUpToTrump yet? Join Sue Altman and I as we get ready to get out the vote to take back the House, stand up to MAGA extremism, and protect abortion access in New Jersey. ;https://www.facebook.com/100044141948763/posts/976608847153838;1;2
32908;“Mario will be a warrior for border security, the right to life, the Second Amendment, and for traditional values. And I know he will join me as a strong ally of President Trump after we elect him this November.” — Dr. Paul Gosar;https://www.facebook.com/100078197256487/posts/440275245255714;1;1
2487;I lost a congressional race to a criminal. Everyone knew he was a criminal. People voted for him because he was a criminal. It actually made people more eager to vote for him. I say this to remind everyone that our country is in a very strange place. Trump was on trial, and now the citizens of America are on trial. Will we do the right thing? I hope so, but my own experience tells me we may not. Surprise me, America. Vote for America, not your tribe.;https://www.facebook.com/100057697326707/posts/880607303872506;1;0
4705;Over the weekend, Donald Trump endorsed my opponent, Juan Ciscomani. From torpedoing the bipartisan border bill to attacking reproductive rights nationwide, Ciscomani has proven to Trump where his loyalties lie — and it's not with his constituents. #AZ06 deserves better.;https://www.facebook.com/100058155937925/posts/840283697920154;2;2
29412;Joe Biden's America isn't working for anyone, especially young Americans. From historic inflation to sky-high gas prices, Bidenomics has punished our youth. The future of America relies on sending President Donald J. Trump back to the White House!;https://www.facebook.com/100044002275306/posts/999799901496743;1;1
93962;I just cast my vote for Donald J. Trump for a safe, strong, and secure America. Have you? Get out and vote, Florida! <U+0001F1FA><U+0001F1F8>;https://www.facebook.com/100044278611778/posts/985904739562137;1;1
16446;Honoring my brother Doug Kern today as he receives standing ovations from the Minnesota GOP State Convention on 5/18/2024. Story below: Very proud of our brother Doug! Doug was acknowledged at the state convention and got a standing ovation! A while back on a bitterly cold day a guy was stranded along the highway he had a flat tire, no jack and just had back surgery. Doug stopped helped him crawling under the car in snow. Little did doug know that it was the chairman of the convention sheriff Rick Stanek. Doug was up front with presenting a amendment and left the mic walking back to his seat and the chair asked him to please come up front none of us knew why he called doug back Rick gave the whole story if that day he was stranded and thanked Doug over and over in front of more than a thousand people. What a beautiful representation of God making that whole convention focus on what is good and true! Doug got a standing ovation and humbly sat down. Another guy got up and told the crowd Doug is not only a good patriot but a true Christian man! God blesses us in ways we would never imagine when we do what is right and pleasing to him! Thanks to all my family for their kindness to others! PS Doug had alot of Donald J. Trump bumper stickers on his car :);https://www.facebook.com/100058023011517/posts/834204365190323;1;1
60807;I believe it’s important we have honesty and transparency from our elected leaders. But Rep. Fitzpatrick refuses to say if he stands with Trump. Read what I have to say in today’s Inquirer…;https://www.facebook.com/100075758266844/posts/444514338083838;1;0
36469;Today we released the full deposition video of Mark Pomerantz’s testimony before the House Judiciary Committee. Pomerantz was a lead prosecutor for the politicized prosecution of President Trump in NYC.;https://www.facebook.com/100044528765819/posts/987816756045941;1;1
2244;Colorado politicians react to Trump guilty verdict:Trisha Calvarese, who is running as the Democratic nominee in the special election to fill the rest of former Congressman Ken Buck’s final term, as well as in the Democratic primary to represent the district in the next Congress, said on social media, “Say it with me. No one is above the law.” ;https://www.facebook.com/61555053431774/posts/122147036492168447;1;2
2168;“It is clear that the Democrats are subverting the American principles of individual liberty, limited government, and the rule of law by weaponizing the justice system against their political opponents, as seen in the case against President Trump”, said Craig DeLuz, Director of Communications for CRA. “This undermines respect and trust in our federal and state government institutions and turns our democratic republic into a banana republic.” https://bit.ly/4dZmUlf:=:https://cragop.org/2024/05/31/california-republican-assembly-condemns-trumps-new-york-trial-verdict-as-a-politically-driven-attack/;https://www.facebook.com/100063650856361/posts/961059326025754;1;1
89475;TODAY is the Arizona Presidential Preference Election. Vote in person or submit your early ballot at a drop box or voting location and make it known that AZ stands with President Trump and the #AmericaFirst movement. <U+0001F525><U+0001F44A><U+0001F3FB><U+0001F1FA><U+0001F1F8>;https://www.facebook.com/100070802985868/posts/442371974799565;1;1
35638;"Thank you to Russell McCloud for the great endorsement and trust in me to represent rural Arizona. Please take a few mins to read why he is endorsing me. ""I take great pride in endorsing Jack Smith for Congress for Arizona’s 2nd Congressional District. Jack is an entrepreneurial-minded and driven leader. Jack not only served in the US Army but has spent most of his adult life working his way up from forklift operator into management in organizations like Pepsi and Ace Hardware. Jack knows the value of hard work and the focus it takes to put food on the table for his family. Jack served 7 years as a Yavapai County Supervisor (elected twice) to represent the people of District 5 and served in the Trump administration as State Director for USDA – Rural Development. Jack knows rural issues. During his 7 years as a Yavapai County Supervisor, I got to know Jack well at the County Supervisors Association (CSA) and had the privilege of serving 2 years with him on the Executive Committee of CSA. Throughout the time I served with Jack, I found him to be thoughtful in his deliberations and always mindful of what was in his constituent’s best interests. Jack Smith will represent rural Arizona like no other."" Russell McCloud Former Yuma County Supervisor Small Business Owner";https://www.facebook.com/61557616713923/posts/122122788014253890;1;0
55047;I’m seeing a lot of republican lies about this so a reminder: America now leads the entire world in oil production. Remember that as trump and republicans lie endlessly about it.;https://www.facebook.com/100043923769754/posts/967234708083979;1;2
63566;<U+0001F6A8> VIEWER DISCRETION ADVISED <U+0001F6A8> Look y'all -- Brandon Herrera is a fraud, he trashed Trump, he's still registered to vote in North Carolina, and frankly he’s just a flat-out embarrassment. Take a listen to him in his own words <U+2B07><U+FE0F>;https://www.facebook.com/100057277585185/posts/934085885177322;1;0
76702;Good to see President Joe Biden strengthen Endangered Species Act protections for biodiversity and imperiled species. We want to see more, and as co-chair of the Endangered Species Act Caucus, I'll keep pushing to fix the damage Trump did to the ESA.;https://www.facebook.com/100044424588071/posts/964780718346072;1;2
2624;I’ve said it before. I’ll say it again. I STAND WITH PRESIDENT TRUMP! #MAGA #FIREAOC;https://www.facebook.com/100069693130543/posts/755784020088029;1;1
80331;Mifepristone is safe, effective and FDA approved. Let's be clear, the right wing and Donald Trump want to do everything they can to take away our reproductive freedoms.;https://www.facebook.com/100058112739825/posts/804548724825545;1;2
9095;<U+0001F1FA><U+0001F1F8>BUILD THE WALL<U+0001F1FA><U+0001F1F8> We need to SHUTDOWN THE BORDER and not pass any budget that does not secure the border. I will stand 100% with PRESIDENT TRUMP to protect our families and stop the invasion of fentanyl, cartel members, and illegal immigrants!;https://www.facebook.com/100057935624186/posts/848960960378417;1;1
2733;"John Liccione releases new song ""They Stopped Loving Him Today"" (The MAGA Singularity) to Commemorate Trump's First Felony Conviction https://wix.to/tGfD57a:=:https://www.voteliccione.org/post/john-liccione-releases-new-song-they-stopped-loving-him-today #TheyStoppedLovingHimToday #MAGASingularity";https://www.facebook.com/100094006015585/posts/321420704334794;1;0
88467;We’re gearing up for a big week in DC—including a blockbuster hearing in Oversight once again involving former President Trump and his attempts to influence the election. Tune in! We’ll be there defending our democracy. <U+0001F4AA><U+0001F3FB>;https://www.facebook.com/100069363414315/posts/733227438999363;1;2
59833;Listen to Rep. Spartz’s discussion with Steve Bannon on War Room on FISA, border, international affairs, and why we need tough leaders like Donald Trump in office. ;https://www.facebook.com/100064160947526/posts/818906076924750;1;1
64685;<U+0001F6A8> ALERT: FAKE POLL LYING ABOUT TRUMP <U+0001F6A8> Friends, did you see that President Donald J. Trump has endorsed my campaign for Congress? President Trump endorsed me because he knows I'm the America First candidate in the race who will build the wall, fight crime, stop the out-of-control spending, reduce the price of energy, defend the sanctity of life, and send Jared Golden and Joe Biden packing. President Trump is our Republican presidential nominee, and he knows it’s critical to win this congressional seat to be able to pass his agenda through Congress. Winning this seat is key to President Trump defeating Joe Biden. Mainers should know that Trump didn’t make this endorsement lightly. But instead of supporting and helping President Trump win, my opponent & his allies have decided to attack Trump -- even using liberal Democrat Jared Golden's words to disparage President Trump! It’s disappointing and very telling. In fact, we just heard about a fake poll Team Soboleski and/or their allies were doing over the weekend falsely attacking me and telling flat out lies -- such as that Trump hasn't endorsed me -- when they know full well that he has! Unfortunately, my opponents are proving that they will say and do anything for political power, and you can’t believe a single word of their attacks. These attacks are untrue, sad, and an act of desperation. President Trump knows they’re lies, and that’s why he has my back. Please join us and President Trump in fighting back against these lies whenever you hear them. Thank you for your support.;https://www.facebook.com/100078964809731/posts/407300528578771;12;1
1788;Felony convictions by President: George Washington to Obama, and Biden: 0 Donald trump: 34 #politics;https://www.facebook.com/100043923769754/posts/993063885501061;1;2
92673;While Donald Trump openly admits that he intends to do 'a lot ... in terms of cutting' Social Security and Medicare if he wins in 2024, Democrats will always fight to protect and expand these essential programs.;https://www.facebook.com/100044432560107/posts/955153489309061;1;2
2323;As we’ve seen in less than 24 hours, the American people will not stand for the political weaponization of their judicial system. When we reelect President Trump, take back the Senate, and grow our House majority on November 5, we’ll ensure this never happens again.;https://www.facebook.com/100068357705831/posts/770471048574812;1;1
11499;Donald J. Trump for President! <U+0001F1FA><U+0001F1F8>;https://www.facebook.com/100080174613030/posts/464561219559695;1;1
